@timestamp,deviceId,@message
2025-05-21 18:57:42.991,,"2025-05-21T18:57:42.991Z	b541e758-bf20-4b59-bf43-fa9a99cf4539	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""dc12a9b4-af59-479b-8a58-dfd5d07ee71d"":{""from"":{""latitude"":42.331429,""longitude"":-83.045753},""to"":{""latitude"":42.278046,""longitude"":-83.741022},""start_time"":""1747853862342"",""end_time"":""1747857462342""},""f54951d3-4e2a-4115-985e-d02cc894c4c8"":{""from"":{""latitude"":42.278046,""longitude"":-83.741022},""to"":{""latitude"":42.963795,""longitude"":-85.670006},""start_time"":""1747861062342"",""end_time"":""1747864662342""},""500bcf0e-f994-4231-b329-7e6e68e4f9ca"":{""from"":{""latitude"":42.963795,""longitude"":-85.670006},""to"":{""latitude"":42.734552,""longitude"":-84.48397},""start_time"":""1747868262342"",""end_time"":""1747871862342""}}}},""metadata"":{""id"":""9fde94eb-bd5e-4542-9a29-2ec12fa07760"",""sev"":""INFO"",""ts"":1747853862991,""src"":""log source""}}
"
2025-05-21 18:13:19.913,,"2025-05-21T18:13:19.913Z	e8bc0000-cd80-4a29-8637-ef3a1eaa8fd4	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747845751"":{""from"":{""latitude"":38.115501,""longitude"":-121.396621},""to"":{""latitude"":38.400558,""longitude"":-121.9505},""start_time"":1747845751000,""end_time"":1747850747000}}}},""metadata"":{""id"":""fce1c6be-326b-49f5-9a85-245d410947fa"",""sev"":""INFO"",""ts"":1747851199913,""src"":""log source""}}
"
2025-05-21 18:07:28.077,,"2025-05-21T18:07:28.077Z	674b5754-128e-4e81-91f2-c177e1c41829	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747848640"":{""from"":{""latitude"":37.78878,""longitude"":-121.289367},""to"":{""latitude"":37.794658,""longitude"":-121.279769},""start_time"":1747848640000,""end_time"":1747850093000}}}},""metadata"":{""id"":""0007ce24-83ff-4960-a3e0-476fc6ef8308"",""sev"":""INFO"",""ts"":1747850848076,""src"":""log source""}}
"
2025-05-21 16:43:13.740,,"2025-05-21T16:43:13.740Z	47584822-8fec-4af8-86d4-0c34afebccd3	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747844676"":{""from"":{""latitude"":37.882221,""longitude"":-121.277969},""to"":{""latitude"":38.06385,""longitude"":-121.374443},""start_time"":1747844676000,""end_time"":1747845522000}}}},""metadata"":{""id"":""985ea45a-311b-4c85-bab9-d3b29ed779ab"",""sev"":""INFO"",""ts"":1747845793739,""src"":""log source""}}
"
2025-05-21 16:27:13.053,,"2025-05-21T16:27:13.053Z	4b0a4022-8f81-4862-84f5-79458c6b7a25	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747843791"":{""from"":{""latitude"":37.753879,""longitude"":-121.414848},""to"":{""latitude"":37.86798,""longitude"":-121.277709},""start_time"":1747843791000,""end_time"":1747844619000}}}},""metadata"":{""id"":""1c7cd375-c039-4aef-8b79-a9fc223a7c1e"",""sev"":""INFO"",""ts"":1747844833053,""src"":""log source""}}
"
2025-05-21 16:11:41.911,,"2025-05-21T16:11:41.911Z	47c78afb-2d86-4168-94b1-1220f6de1277	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747821821"":{""from"":{""latitude"":37.802158,""longitude"":-121.290809},""to"":{""latitude"":37.74998,""longitude"":-121.402267},""start_time"":1747821821000,""end_time"":1747843466000}}}},""metadata"":{""id"":""b82c65e7-2b15-4f9f-b45c-4a9fc06f69e2"",""sev"":""INFO"",""ts"":1747843901911,""src"":""log source""}}
"
2025-05-21 09:04:00.861,,"2025-05-21T09:04:00.861Z	845d12e6-f227-4d94-b3fb-cfe9d08df65d	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747816889"":{""from"":{""latitude"":37.75325,""longitude"":-121.407043},""to"":{""latitude"":37.780258,""longitude"":-121.527641},""start_time"":1747816889000,""end_time"":1747817681000}}}},""metadata"":{""id"":""2d413182-1af5-46bd-aa89-4f1198dfbd47"",""sev"":""INFO"",""ts"":1747818240861,""src"":""log source""}}
"
2025-05-21 07:41:25.706,,"2025-05-21T07:41:25.706Z	767c1e43-504b-4b9c-be1e-b75f2a76afe9	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747803719"":{""from"":{""latitude"":37.47546,""longitude"":-121.191871},""to"":{""latitude"":37.576599,""longitude"":-121.314666},""start_time"":1747803719000,""end_time"":1747804325000},""1747804864"":{""from"":{""latitude"":37.658279,""longitude"":-121.434089},""to"":{""latitude"":37.722751,""longitude"":-121.531387},""start_time"":1747804864000,""end_time"":1747805393000},""1747805807"":{""from"":{""latitude"":37.776309,""longitude"":-121.531639},""to"":{""latitude"":37.843219,""longitude"":-121.616897},""start_time"":1747805807000,""end_time"":1747806336000},""1747807180"":{""from"":{""latitude"":37.906978,""longitude"":-121.725303},""to"":{""latitude"":38.006649,""longitude"":-121.753372},""start_time"":1747807180000,""end_time"":1747807676000}}}},""metadata"":{""id"":""3a5a8b29-22ff-4ed3-8a04-de419b34b65a"",""sev"":""INFO"",""ts"":1747813285706,""src"":""log source""}}
"
2025-05-21 04:15:41.270,,"2025-05-21T04:15:41.270Z	0b29f23e-b00f-4b36-9296-d68f153d82b7	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747800194"":{""from"":{""latitude"":37.05429,""longitude"":-120.647872},""to"":{""latitude"":37.057811,""longitude"":-120.817306},""start_time"":1747800194000,""end_time"":1747800833000}}}},""metadata"":{""id"":""57401203-eb4d-4587-9b56-9ac52db0e6fc"",""sev"":""INFO"",""ts"":1747800941270,""src"":""log source""}}
"
2025-05-20 22:13:57.260,,"2025-05-20T22:13:57.260Z	22852172-28f9-4c54-9f92-f14cc7ee0294	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747755086"":{""from"":{""latitude"":37.80252,""longitude"":-121.290687},""to"":{""latitude"":37.856521,""longitude"":-121.281562},""start_time"":1747755086000,""end_time"":1747778048000}}}},""metadata"":{""id"":""a57b08f7-6385-438f-bce1-4ca475a0f6fa"",""sev"":""INFO"",""ts"":1747779237260,""src"":""log source""}}
"
